time_ms,event,task
1027.957,in,argProvider2
1028.500,out,argProvider2
1030.860,in,IDLE
1031.322,out,IDLE
1031.709,in,argProvider1
1040.371,out,argProvider1
1040.763,in,argProvider2
1042.377,out,argProvider2
1042.971,in,IDLE
1043.537,out,IDLE
1044.165,in,argProvider1
1056.232,out,argProvider1
1058.913,in,argProvider2
1060.168,out,argProvider2
1060.869,in,IDLE
1061.985,out,IDLE
1062.546,in,Tmr Svc
1063.024,out,Tmr Svc
1064.145,in,argProvider1
1071.463,out,argProvider1
1072.035,in,argProvider2
1073.667,out,argProvider2
1074.133,in,IDLE
1074.469,out,IDLE
1074.793,in,argProvider1
1087.352,out,argProvider1
1087.748,in,argProvider2
1090.107,out,argProvider2
1090.572,in,IDLE
1091.388,out,IDLE
1091.807,in,argProvider1
1102.277,out,argProvider1
1104.382,in,argProvider2
1107.000,out,argProvider2
1109.034,in,IDLE
1109.606,out,IDLE
1110.404,in,argProvider1
1117.283,out,argProvider1
1118.219,in,argProvider2
1119.599,out,argProvider2
1120.265,in,IDLE
1120.877,out,IDLE
1121.534,in,argProvider1
1132.336,out,argProvider1
1132.685,in,argProvider2
1134.191,out,argProvider2
1135.086,in,IDLE
1135.493,out,IDLE
1135.920,in,argProvider1
1136.368,out,argProvider1
1136.910,in,argProvider2
1137.278,out,argProvider2
1137.592,in,IDLE
1138.212,out,IDLE
1138.672,in,argProvider1
1139.019,out,argProvider1
1139.455,in,argProvider2
1139.997,out,argProvider2
1140.360,in,IDLE
1140.707,out,IDLE
1141.189,in,argProvider1
1141.618,out,argProvider1
1141.986,in,argProvider2
1142.479,out,argProvider2
1142.957,in,IDLE
1143.489,out,IDLE
1144.274,in,argProvider1
1144.782,out,argProvider1
1145.151,in,argProvider2
1145.880,out,argProvider2
1145.947,in,IDLE
1147.001,out,IDLE
1147.911,in,argProvider1
1151.091,out,argProvider1
1151.753,in,argProvider2
1152.175,out,argProvider2
1152.484,in,IDLE
1158.531,out,IDLE
1158.840,in,Tmr Svc
1159.148,out,Tmr Svc
1159.509,in,argProvider1
1163.259,out,argProvider1
1165.011,in,argProvider2
1165.503,out,argProvider2
1165.785,in,IDLE
1166.095,out,IDLE
1166.426,in,argProvider1
1178.440,out,argProvider1
1178.548,in,argProvider2
1178.869,out,argProvider2
1180.530,in,IDLE
1181.237,out,IDLE
1181.652,in,argProvider1
1194.405,out,argProvider1
1196.133,in,argProvider2
1197.902,out,argProvider2
1198.476,in,IDLE
1209.235,out,IDLE
1209.671,in,argProvider1
1211.586,out,argProvider1
1212.145,in,argProvider2
1214.197,out,argProvider2
1214.646,in,IDLE
1215.123,out,IDLE
1215.534,in,argProvider1
1225.349,out,argProvider1
1225.793,in,argProvider2
1227.431,out,argProvider2
1228.127,in,IDLE
1228.658,out,IDLE
1229.091,in,argProvider1
1240.168,out,argProvider1
1240.620,in,argProvider2
1242.199,out,argProvider2
1242.843,in,IDLE
1243.476,out,IDLE
1244.076,in,argProvider1
1256.047,out,argProvider1
1256.495,in,argProvider2
1258.057,out,argProvider2
1258.718,in,IDLE
1259.372,out,IDLE
1259.985,in,Tmr Svc
1260.568,out,Tmr Svc
1261.113,in,argProvider1
1271.283,out,argProvider1
1271.731,in,argProvider2
1273.420,out,argProvider2
1274.016,in,IDLE
1274.653,out,IDLE
1275.281,in,argProvider1
1286.345,out,argProvider1
1286.790,in,argProvider2
1288.379,out,argProvider2
1288.874,in,IDLE
1289.748,out,IDLE
1289.922,in,argProvider1
1301.900,out,argProvider1
1303.462,in,argProvider2
1304.819,out,argProvider2
1305.152,in,IDLE
1305.465,out,IDLE
1305.770,in,argProvider1
1317.177,out,argProvider1
1317.621,in,argProvider2
1319.150,out,argProvider2
1319.704,in,IDLE
1320.328,out,IDLE
1320.922,in,argProvider1
1333.286,out,argProvider1
1333.752,in,argProvider2
1335.321,out,argProvider2
1335.951,in,IDLE
1336.542,out,IDLE
1337.184,in,argProvider1
1349.653,out,argProvider1
1350.095,in,argProvider2
1351.650,out,argProvider2
1352.217,in,IDLE
1352.805,out,IDLE
1353.350,in,argProvider1
1353.959,out,argProvider1
1354.506,in,argProvider2
1355.089,out,argProvider2
1355.621,in,IDLE
1356.067,out,IDLE
1356.170,in,argProvider1
1356.564,out,argProvider1
1356.672,in,argProvider2
1357.496,out,argProvider2
1358.671,in,IDLE
1359.063,out,IDLE
1359.430,in,argProvider1
1359.749,out,argProvider1
1360.073,in,argProvider2
1360.413,out,argProvider2
1360.779,in,IDLE
1361.411,out,IDLE
1361.754,in,argProvider1
1362.409,out,argProvider1
1362.747,in,argProvider2
1363.426,out,argProvider2
1363.883,in,IDLE
1366.535,out,IDLE
1367.118,in,argProvider1
1367.780,out,argProvider1
1368.117,in,argProvider2
1381.725,out,argProvider2
1382.301,in,IDLE
1383.970,out,IDLE
1384.628,in,argProvider1
1397.452,out,argProvider1
1399.248,in,argProvider2
1399.913,out,argProvider2
1400.360,in,IDLE
1401.046,out,IDLE
1404.239,in,Tmr Svc
1404.659,out,Tmr Svc
1405.038,in,argProvider1
1412.970,out,argProvider1
1413.378,in,argProvider2
1415.552,out,argProvider2
1416.136,in,IDLE
1416.660,out,IDLE
1417.268,in,argProvider1
1428.944,out,argProvider1
1429.376,in,argProvider2
1431.066,out,argProvider2
1431.779,in,IDLE
1432.345,out,IDLE
1432.873,in,argProvider1
1433.383,out,argProvider1
1433.810,in,argProvider2
1434.424,out,argProvider2
1435.086,in,IDLE
1435.672,out,IDLE
1436.522,in,argProvider1
1437.377,out,argProvider1
1437.897,in,argProvider2
1438.317,out,argProvider2
1438.649,in,IDLE
1438.964,out,IDLE
1439.299,in,argProvider1
1440.094,out,argProvider1
1440.430,in,argProvider2
1441.058,out,argProvider2
1441.419,in,IDLE
1441.800,out,IDLE
1442.163,in,argProvider1
1442.482,out,argProvider1
1442.798,in,argProvider2
1443.127,out,argProvider2
1443.444,in,IDLE
1446.354,out,IDLE
1446.748,in,argProvider1
1447.448,out,argProvider1
1447.999,in,argProvider2
1448.450,out,argProvider2
1448.774,in,IDLE
1449.152,out,IDLE
1449.504,in,argProvider1
1450.065,out,argProvider1
1450.457,in,argProvider2
1451.061,out,argProvider2
1451.515,in,IDLE
1452.076,out,IDLE
1452.705,in,argProvider1
1453.070,out,argProvider1
1453.396,in,argProvider2
1454.059,out,argProvider2
1454.387,in,IDLE
1455.053,out,IDLE
1455.389,in,argProvider1
1456.055,out,argProvider1
1456.374,in,argProvider2
1457.054,out,argProvider2
1457.374,in,IDLE
1458.050,out,IDLE
1458.369,in,argProvider1
1459.077,out,argProvider1
1459.372,in,argProvider2
1462.228,out,argProvider2
1462.589,in,IDLE
1463.193,out,IDLE
1464.229,in,argProvider1
1476.729,out,argProvider1
1478.073,in,argProvider2
1479.617,out,argProvider2
1479.919,in,IDLE
1480.839,out,IDLE
1481.018,in,Tmr Svc
1481.382,out,Tmr Svc
1481.705,in,argProvider1
1491.989,out,argProvider1
1492.423,in,argProvider2
1493.971,out,argProvider2
1494.569,in,IDLE
1494.903,out,IDLE
1495.597,in,argProvider1
1506.701,out,argProvider1
1507.011,in,argProvider2
1508.355,out,argProvider2
1508.450,in,IDLE
1508.902,out,IDLE
1509.225,in,argProvider1
1509.632,out,argProvider1
1509.956,in,argProvider2
1510.269,out,argProvider2
1510.694,in,IDLE
1511.007,out,IDLE
1511.352,in,argProvider1
1511.717,out,argProvider1
1512.086,in,argProvider2
1512.921,out,argProvider2
1513.264,in,IDLE
1513.653,out,IDLE
1514.115,in,argProvider1
1514.760,out,argProvider1
1515.026,in,argProvider2
1515.357,out,argProvider2
1515.804,in,IDLE
1516.137,out,IDLE
1516.514,in,argProvider1
1517.067,out,argProvider1
1517.534,in,argProvider2
1518.063,out,argProvider2
1518.476,in,IDLE
1519.059,out,IDLE
1519.431,in,argProvider1
1520.084,out,argProvider1
1520.141,in,argProvider2
1521.522,out,argProvider2
1521.887,in,IDLE
1524.356,out,IDLE
1524.456,in,argProvider1
1524.800,out,argProvider1
1525.420,in,argProvider2
1525.865,out,argProvider2
1526.193,in,IDLE
1527.121,out,IDLE
1527.510,in,argProvider1
1529.064,out,argProvider1
1529.327,in,argProvider2
1530.055,out,argProvider2
1531.489,in,IDLE
1531.653,out,IDLE
1532.020,in,argProvider1
1532.347,out,argProvider1
1532.778,in,argProvider2
1533.093,out,argProvider2
1533.470,in,IDLE
1533.789,out,IDLE
1534.112,in,Tmr Svc
1534.468,out,Tmr Svc
1534.802,in,argProvider1
1535.107,out,argProvider1
1535.453,in,argProvider2
1536.056,out,argProvider2
1536.392,in,IDLE
1536.755,out,IDLE
1537.255,in,argProvider1
1537.892,out,argProvider1
1538.273,in,argProvider2
1540.715,out,argProvider2
1541.129,in,IDLE
1541.845,out,IDLE
1542.211,in,argProvider1
1554.872,out,argProvider1
1555.221,in,argProvider2
1556.826,out,argProvider2
1557.200,in,IDLE
1557.527,out,IDLE
1557.857,in,argProvider1
1570.881,out,argProvider1
1572.447,in,argProvider2
1573.763,out,argProvider2
1574.156,in,IDLE
1586.198,out,IDLE
1586.858,in,argProvider1
1588.618,out,argProvider1
1589.033,in,argProvider2
1589.434,out,argProvider2
1590.033,in,IDLE
1590.614,out,IDLE
1591.055,in,argProvider1
1591.465,out,argProvider1
1591.814,in,argProvider2
1592.177,out,argProvider2
1592.539,in,IDLE
1592.908,out,IDLE
1593.246,in,Tmr Svc
